name,address_city,address_street_name,address_street_number,address_postal_code,country_of_domicile,birth_date,nationality,passport_number,passport_issue_date,passport_expiry_date,gender,phone_number,email_address,marital_status,secondary_school,higher_education,employment_history,aum,inheritance_details,real_estate_details,investment_risk_profile,investment_horizon,investment_experience,type_of_mandate,preferred_markets,currency,address,client_id
Bertrand Bernard Legrand,Lille,Rue de Rivoli,2,00376,France,2000-01-29,French,PP6760294,2017-11-11,2027-11-10,M,07 47 36 49 12,bertrand.legrand@hotmail.com,single,"{'name': 'Lycée Montaigne', 'graduation_year': 2019}","[{'university': 'IUT de Nantes', 'graduation_year': 2023}]","[{'start_year': 2024, 'end_year': None, 'company': 'Sanofi S.A.', 'position': 'Research Scientist', 'salary': 32000}]","{'savings': 0, 'inheritance': 1970000, 'real_estate_value': 0}","{'relationship': 'grandmother', 'inheritance year': 2019, 'profession': 'Neurosurgeon'}",[],Moderate,Medium,Inexperienced,Discretionary,"['Spain', 'France']",EUR,"{'city': 'Lille', 'street name': 'Rue de Rivoli', 'street number': 2, 'postal code': '00376'}",3172
Navarro Vázquez Herrera,Segovia,Plaza de la Encarnación,87,88921,Spain,1966-02-19,Spanish,OV9389986,2019-05-25,2029-05-24,M,632 865 719,navarro.herrera@orange.es,married,"{'name': 'IES Miguel Hernández Alicante', 'graduation_year': 1985}","[{'university': 'Pompeu Fabra University', 'graduation_year': 1990}]","[{'start_year': 1989, 'end_year': 1993, 'company': 'Museo del Prado', 'position': 'Art Dealer', 'salary': 23000}, {'start_year': 1995, 'end_year': 1996, 'company': 'Reina Sofia Museum', 'position': 'Gallery Owner', 'salary': 39000}, {'start_year': 1997, 'end_year': None, 'company': 'Thyssen-Bornemisza National Museum', 'position': 'Art Advisor', 'salary': 376000}]","{'savings': 630000, 'inheritance': 3190000, 'real_estate_value': 3720000}","{'relationship': 'mother', 'inheritance year': 2007, 'profession': 'Tech Entrepreneur'}","[{'property type': 'flat', 'property value': 950000, 'property location': 'Segovia'}, {'property type': 'flat', 'property value': 640000, 'property location': 'Valencia'}, {'property type': 'villa', 'property value': 2130000, 'property location': 'Palma de Mallorca'}]",Considerable,Medium,Experienced,Advisory,['Spain'],EUR,"{'city': 'Segovia', 'street name': 'Plaza de la Encarnación', 'street number': 87, 'postal code': '88921'}",9448
Koch Herrmann Mayer,Frankfurt am Main,Bismarckallee,25,42821,Germany,1995-03-21,German,XA7401890,2019-06-25,2029-06-24,M,6615 090935,koch.mayer@gmail.com,married,"{'name': 'Albert-Einstein-Gymnasium Ulm', 'graduation_year': 2012}","[{'university': 'Berlin University of the Arts', 'graduation_year': 2017}]","[{'start_year': 2018, 'end_year': 2021, 'company': 'Siemens AG', 'position': 'Plant Manager', 'salary': 39000}, {'start_year': 2023, 'end_year': 2025, 'company': 'Siemens AG', 'position': 'Operations Director', 'salary': 62000}]","{'savings': 30000, 'inheritance': 1220000, 'real_estate_value': 7040000}","{'relationship': 'grandmother', 'inheritance year': 2017, 'profession': 'Corporate Lawyer'}","[{'property type': 'townhouse', 'property value': 1210000, 'property location': 'Frankfurt am Main'}, {'property type': 'villa', 'property value': 2910000, 'property location': 'Heidelberg'}, {'property type': 'villa', 'property value': 2920000, 'property location': 'Freiburg im Breisgau'}]",Considerable,Long-Term,Experienced,Discretionary,"['Germany', 'France']",EUR,"{'city': 'Frankfurt am Main', 'street name': 'Bismarckallee', 'street number': 25, 'postal code': '42821'}",1625
Santoro Galli Marino,Ancona,Via IV Novembre,39,08543,Italy,1959-04-23,Italian,FT9246796,2023-08-26,2033-08-25,M,+39 381 6314118,santoro.marino@unidata.it,widowed,"{'name': 'Liceo Classico Annibale Mariotti Siena', 'graduation_year': 1979}","[{'university': 'University of Rome La Sapienza', 'graduation_year': 1984}, {'university': 'University of Turin', 'graduation_year': 1987}]","[{'start_year': 1984, 'end_year': 1986, 'company': ' Marriott International Italia S.r.l.', 'position': 'Hotel Manager', 'salary': 27000}, {'start_year': 1987, 'end_year': 1991, 'company': 'Gruppo Starhotels S.p.A.', 'position': 'General Manager', 'salary': 44000}, {'start_year': 1993, 'end_year': 1996, 'company': 'NH Hotel Group Italia S.r.l.', 'position': 'Regional Vice President', 'salary': 59000}, {'start_year': 1998, 'end_year': 2001, 'company': 'Gruppo Starhotels S.p.A.', 'position': 'CEO', 'salary': 86000}, {'start_year': 2001, 'end_year': 2020, 'company': 'Hilton Worldwide Italia S.r.l.', 'position': 'Hospitality Industry Leader', 'salary': 706000}]","{'savings': 1240000, 'inheritance': 0, 'real_estate_value': 2420000}",{},"[{'property type': 'condo', 'property value': 780000, 'property location': 'Ancona'}, {'property type': 'condo', 'property value': 770000, 'property location': 'Vicenza'}, {'property type': 'condo', 'property value': 870000, 'property location': 'Siena'}]",Low,Short,Experienced,Advisory,"['Switzerland', 'Italy']",EUR,"{'city': 'Ancona', 'street name': 'Via IV Novembre', 'street number': 39, 'postal code': '08543'}",5285
Maarika Viitanen,Hyvinkää,Mikonkatu,6,66979,Finland,1963-03-16,Finnish,DK3552019,2017-01-01,2026-12-31,F,+358 046 281 37 83,maarika.viitanen@hotmail.com,divorced,"{'name': 'Nummela lukio', 'graduation_year': 1982}","[{'university': 'University of Helsinki', 'graduation_year': 1985}, {'university': 'University of Jyväskylä', 'graduation_year': 1989}]","[{'start_year': 1986, 'end_year': 1987, 'company': 'Danske Bank A/S', 'position': 'Investment Banker', 'salary': 41000}, {'start_year': 1987, 'end_year': 1991, 'company': 'OP Financial Group', 'position': 'Private Equity Investor', 'salary': 52000}, {'start_year': 1991, 'end_year': 1995, 'company': 'Danske Bank A/S', 'position': 'Hedge Fund Manager', 'salary': 79000}, {'start_year': 1995, 'end_year': 2023, 'company': 'Danske Bank A/S', 'position': 'Venture Capitalist', 'salary': 1077000}]","{'savings': 2210000, 'inheritance': 0, 'real_estate_value': 0}",{},[],,Medium,Experienced,Advisory,"['Germany', 'Finland']",EUR,"{'city': 'Hyvinkää', 'street name': 'Mikonkatu', 'street number': 6, 'postal code': '66979'}",4357
Krog Haugaard Jespersen,Roskilde,Vigerslev Allé,75,3719,Denmark,1985-11-25,Danish,IV2170735,2021-05-04,2031-05-03,M,+45 07 14 25 18,krog.jespersen@wanadoo.dk,married,"{'name': 'Nyborg Gymnasium', 'graduation_year': 2005}","[{'university': 'CBS International Business School', 'graduation_year': 1996}]","[{'start_year': 2009, 'end_year': 2012, 'company': 'Torm A/S', 'position': 'Junior Trader', 'salary': 284000}, {'start_year': 2014, 'end_year': 2019, 'company': 'A.P. Moller - Maersk A/S', 'position': 'Senior Trader', 'salary': 490000}, {'start_year': 2020, 'end_year': None, 'company': 'Torm A/S', 'position': 'Trading Desk Manager', 'salary': 817000}]","{'savings': 1010000, 'inheritance': 15920000, 'real_estate_value': 3693000}","{'relationship': 'grandmother', 'inheritance year': 2020, 'profession': 'Investment Banker'}","[{'property type': 'condo', 'property value': 849000, 'property location': 'Roskilde'}, {'property type': 'flat', 'property value': 1014000, 'property location': 'Gentofte'}, {'property type': 'house', 'property value': 1830000, 'property location': 'Roskilde'}]",Low,Short,Experienced,Advisory,"['Finland', 'Denmark']",DKK,"{'city': 'Roskilde', 'street name': 'Vigerslev Allé', 'street number': 75, 'postal code': '3719'}",1417
Gabrielle Ambre Guillaume,Pisa,Piazza del Duomo,4,70208,Italy,1981-06-26,French,IL9429422,2020-05-09,2030-05-08,F,+39 301 8303031,gabrielle.guillaume@tiscali.it,married,"{'name': 'Lycée Victor Hugo', 'graduation_year': 2000}","[{'university': 'EMIC de Marseille', 'graduation_year': 2005}]","[{'start_year': 2006, 'end_year': 2008, 'company': 'Intesa Sanpaolo S.p.A.', 'position': 'Investment Banker', 'salary': 32000}, {'start_year': 2010, 'end_year': None, 'company': 'Intesa Sanpaolo S.p.A.', 'position': 'Private Equity Investor', 'salary': 100000}]","{'savings': 150000, 'inheritance': 5290000, 'real_estate_value': 3530000}","{'relationship': 'grandmother', 'inheritance year': 2014, 'profession': 'Investment Banker'}","[{'property type': 'villa', 'property value': 2030000, 'property location': 'Pisa'}, {'property type': 'house', 'property value': 1500000, 'property location': 'Orléans'}]",Moderate,Medium,Experienced,Advisory,"['Germany', 'France', 'Italy']",EUR,"{'city': 'Pisa', 'street name': 'Piazza del Duomo', 'street number': 4, 'postal code': '70208'}",4959
Sophia Victoria Maier,Mikkeli,Radiokatu,6,44405,Finland,1958-11-15,Austrian,LM4442412,2024-08-19,2034-08-18,F,,sophia.maier@dnainternet.fi,single,"{'name': 'Musisches Gymnasium Wien', 'graduation_year': 1977}","[{'university': 'University of Klagenfurt', 'graduation_year': 1983}]","[{'start_year': 1982, 'end_year': 1985, 'company': 'Robonic Oy', 'position': 'Aerospace Engineer', 'salary': 30000}, {'start_year': 1987, 'end_year': 1990, 'company': 'Robonic Oy', 'position': 'Program Manager', 'salary': 45000}, {'start_year': 1992, 'end_year': 1996, 'company': 'Finavia Corporation', 'position': 'Director of Operations', 'salary': 73000}, {'start_year': 1998, 'end_year': 2019, 'company': 'Patria Aviation Oy', 'position': 'VP of Business Development', 'salary': 604000}]","{'savings': 1080000, 'inheritance': 0, 'real_estate_value': 790000}",{},"[{'property type': 'condo', 'property value': 790000, 'property location': 'Mikkeli'}]",Low,Medium,Expert,Advisory,"['Denmark', 'Austria', 'Finland']",EUR,"{'city': 'Mikkeli', 'street name': 'Radiokatu', 'street number': 6, 'postal code': '44405'}",4165
Raes Vandenberghe Peeters,Naples,Via Nazionale,98,92901,Italy,1968-01-07,Belgian,LO6773744,2019-06-07,2026-06-06,M,377 8457523,raes.peeters@yahoo.com,widowed,"{'name': 'Atheneum Antwerpen', 'graduation_year': 1986}","[{'university': 'University of Liège', 'graduation_year': 1991}]","[{'start_year': 1991, 'end_year': 1996, 'company': 'Reply S.p.A.', 'position': 'Software Developer', 'salary': 35000}, {'start_year': 1996, 'end_year': 1999, 'company': 'Engineering Ingegneria Informatica S.p.A.', 'position': 'Startup Founder', 'salary': 50000}, {'start_year': 2000, 'end_year': 2002, 'company': 'Engineering Ingegneria Informatica S.p.A.', 'position': 'CEO', 'salary': 83000}, {'start_year': 2002, 'end_year': 2003, 'company': 'Reply S.p.A.', 'position': 'Venture Capitalist', 'salary': 130000}, {'start_year': 2005, 'end_year': None, 'company': 'Reply S.p.A.', 'position': 'Tech Industry Leader', 'salary': 911000}]","{'savings': 1550000, 'inheritance': 5600000, 'real_estate_value': 3270000}","{'relationship': 'father', 'inheritance year': 2005, 'profession': 'Investment Banker'}","[{'property type': 'villa', 'property value': 2260000, 'property location': 'Naples'}, {'property type': 'condo', 'property value': 1010000, 'property location': 'Binche'}]",Low,Short,Experienced,Advisory,"['Denmark', 'Belgium', 'Italy']",EUR,"{'city': 'Naples', 'street name': 'Via Nazionale', 'street number': 98, 'postal code': '92901'}",6632
Daniela Aline Schneider,Thun,Rue de l'Athénée,22,0693,Switzerland,1974-04-25,Swiss,JT8833723,2020-02-08,2030-02-07,F,+41 064 059 70 23,daniela.schneider@hotmail.com,married,"{'name': 'Liceo scientifico Giovanni Polli Lugano', 'graduation_year': 1984}","[{'university': 'Hotel Institute Montreux', 'graduation_year': 1997}]","[{'start_year': 1999, 'end_year': 2004, 'company': 'Invision Private Equity AG', 'position': 'Analyst', 'salary': 73000}, {'start_year': 2005, 'end_year': 2024, 'company': 'Capvis Equity Partners AG', 'position': 'Associate', 'salary': 402000}]","{'savings': 730000, 'inheritance': 1340000, 'real_estate_value': 8770000}","{'relationship': 'father', 'inheritance year': 2010, 'profession': 'Hedge Fund Manager'}","[{'property type': 'house', 'property value': 3360000, 'property location': 'Thun'}, {'property type': 'house', 'property value': 2750000, 'property location': 'Geneva'}, {'property type': 'townhouse', 'property value': 2660000, 'property location': 'Schaffhausen'}]",Moderate,Medium,Experienced,Discretionary,"['Germany', 'Switzerland']",CHF,"{'city': 'Thun', 'street name': ""Rue de l'Athénée"", 'street number': 22, 'postal code': '0693'}",3340
Jenna Lotta Tolvanen,Espoo,Karjalankatu,20,58323,Finland,1958-08-14,Finnish,NC0420357,2019-11-27,2029-11-26,F,045 265 74 62,jenna.tolvanen@hotmail.com,divorced,"{'name': 'Kauniaisten lukio', 'graduation_year': 1976}","[{'university': 'Åbo Akademi University School of Economics', 'graduation_year': 1981}]","[{'start_year': 1982, 'end_year': 1983, 'company': 'Metso Outotec Oyj', 'position': 'Plant Manager', 'salary': 39000}, {'start_year': 1984, 'end_year': 1987, 'company': 'Konecranes Oyj', 'position': 'Operations Director', 'salary': 56000}, {'start_year': 1989, 'end_year': 1993, 'company': 'Wärtsilä Corporation', 'position': 'CEO', 'salary': 83000}, {'start_year': 1993, 'end_year': 1996, 'company': 'Metso Outotec Oyj', 'position': 'Chairman', 'salary': 134000}, {'start_year': 1998, 'end_year': 2019, 'company': 'Wärtsilä Corporation', 'position': 'Conglomerate Owner', 'salary': 1072000}]","{'savings': 1680000, 'inheritance': 0, 'real_estate_value': 2960000}",{},"[{'property type': 'townhouse', 'property value': 980000, 'property location': 'Espoo'}, {'property type': 'condo', 'property value': 850000, 'property location': 'Nurmijärvi'}, {'property type': 'townhouse', 'property value': 1130000, 'property location': 'Vantaa'}]",Moderate,Medium,Expert,Discretionary,['Finland'],EUR,"{'city': 'Espoo', 'street name': 'Karjalankatu', 'street number': 20, 'postal code': '58323'}",2292
Delphine Laurène Martin,Aix-en-Provence,Rue de la Huchette,11,71620,France,1970-02-01,French,AL9340879,2017-04-20,2027-04-19,F,+33 08 64 88 19 11,delphine.martin@bbox.fr,married,"{'name': 'Lycée International de Lyon', 'graduation_year': 1988}","[{'university': 'University of Toulouse', 'graduation_year': 1992}]","[{'start_year': 1993, 'end_year': 1996, 'company': 'Servier Laboratories', 'position': 'Research Scientist', 'salary': 28000}, {'start_year': 1997, 'end_year': 1998, 'company': 'Servier Laboratories', 'position': 'Clinical Trials Manager', 'salary': 42000}, {'start_year': 1999, 'end_year': 2000, 'company': 'Sanofi S.A.', 'position': 'Regulatory Affairs Director', 'salary': 65000}, {'start_year': 2002, 'end_year': None, 'company': 'Servier Laboratories', 'position': 'CEO', 'salary': 1097000}]","{'savings': 1920000, 'inheritance': 150000, 'real_estate_value': 4630000}","{'relationship': 'mother', 'inheritance year': 2015, 'profession': 'Oil and Gas Executive'}","[{'property type': 'villa', 'property value': 3340000, 'property location': 'Aix-en-Provence'}, {'property type': 'flat', 'property value': 1290000, 'property location': 'Besançon'}]",Considerable,Short,Experienced,Discretionary,"['France', 'Denmark']",EUR,"{'city': 'Aix-en-Provence', 'street name': 'Rue de la Huchette', 'street number': 11, 'postal code': '71620'}",7526
Muñoz Rodríguez Morales,Castellón de la Plana,Calle de los Reyes Católicos,45,99626,Spain,1962-08-02,Spanish,CB2067021,2019-04-01,2029-03-31,M,+34 609 750 871,munoz.morales@wanadoo.es,married,"{'name': 'IES Federico García Lorca Granada', 'graduation_year': 1982}","[{'university': 'University of Barcelona', 'graduation_year': 1987}]","[{'start_year': 1986, 'end_year': 1989, 'company': 'Allianz Global Investors Spain S.A.', 'position': 'Stockbroker', 'salary': 26000}, {'start_year': 1989, 'end_year': 1994, 'company': 'The Vanguard Group Inc.', 'position': 'Portfolio Manager', 'salary': 51000}, {'start_year': 1994, 'end_year': 1999, 'company': 'Fidelity International (Spain)', 'position': 'Hedge Fund Manager', 'salary': 99000}, {'start_year': 2000, 'end_year': 2005, 'company': 'Fidelity International (Spain)', 'position': 'Private Equity Investor', 'salary': 186000}, {'start_year': 2007, 'end_year': 2023, 'company': 'Allianz Global Investors Spain S.A.', 'position': 'Angel Investor', 'salary': 666000}]","{'savings': 1080000, 'inheritance': 0, 'real_estate_value': 950000}",{},"[{'property type': 'condo', 'property value': 950000, 'property location': 'Castellón de la Plana'}]",Considerable,Short,Expert,Discretionary,"['Spain', 'Netherlands']",EUR,"{'city': 'Castellón de la Plana', 'street name': 'Calle de los Reyes Católicos', 'street number': 45, 'postal code': '99626'}",2868
Beatrice Angelica Leonardi,Catania,Via Solferino,35,53818,Italy,1961-06-22,Italian,TA9741963,2019-02-15,2029-02-14,F,381 0483536,beatrice.leonardi@alice.it,married,"{'name': 'Scuola Media Statale Giancarlo Siani Napoli', 'graduation_year': 1979}","[{'university': 'European University of Rome', 'graduation_year': 1985}]","[{'start_year': 1985, 'end_year': 1987, 'company': 'Coima RES S.p.A.', 'position': 'Property Manager', 'salary': 27000}, {'start_year': 1988, 'end_year': 1992, 'company': 'Fondo Atlante SGR S.p.A.', 'position': 'Developer', 'salary': 41000}, {'start_year': 1994, 'end_year': 2022, 'company': 'Coima RES S.p.A.', 'position': 'Construction Company Owner', 'salary': 440000}]","{'savings': 770000, 'inheritance': 0, 'real_estate_value': 3970000}",{},"[{'property type': 'villa', 'property value': 2080000, 'property location': 'Catania'}, {'property type': 'townhouse', 'property value': 1280000, 'property location': 'Taranto'}, {'property type': 'flat', 'property value': 610000, 'property location': 'Bologna'}]",Moderate,Medium,Expert,Discretionary,"['Denmark', 'Italy']",EUR,"{'city': 'Catania', 'street name': 'Via Solferino', 'street number': 35, 'postal code': '53818'}",3186
Rasmussen Christensen Knudsen,Ikast,Gammel Torv,77,4876,Denmark,2001-06-10,Danish,ZX3697679,2020-11-19,2030-11-18,M,+45 55 54 91 09,rasmussen.knudsen@outlook.com,single,"{'name': 'Østre Borgerdyd Gymnasium', 'graduation_year': 2021}",[],[],"{'savings': 0, 'inheritance': 13940000, 'real_estate_value': 0}","{'relationship': 'grandfather', 'inheritance year': 2015, 'profession': 'Oil and Gas Executive'}",[],High,Long-Term,Inexperienced,Discretionary,"['Denmark', 'Italy']",DKK,"{'city': 'Ikast', 'street name': 'Gammel Torv', 'street number': 77, 'postal code': '4876'}",2054
Smets Sterckx Lambrechts,Maaseik,Rue des Deux Portes,95,0295,Belgium,1971-07-11,Belgian,ZC1164202,2017-11-11,2024-11-10,M,+32 0419 249 937,smets.lambrechts@telenet.be,single,"{'name': 'Athénée Royal Jules Bordet', 'graduation_year': 1991}","[{'university': 'University of Namur', 'graduation_year': 1995}]","[{'start_year': 1996, 'end_year': 2000, 'company': 'Ann Demeulemeester BVBA', 'position': 'Assistant Designer', 'salary': 36000}, {'start_year': 2002, 'end_year': 2007, 'company': 'Walter Van Beirendonck BVBA', 'position': 'Senior Designer', 'salary': 65000}, {'start_year': 2008, 'end_year': 2012, 'company': 'Ann Demeulemeester BVBA', 'position': 'Creative Director', 'salary': 79000}, {'start_year': 2014, 'end_year': 2017, 'company': 'Stella McCartney Belgium', 'position': 'Founder/Designer', 'salary': 132000}, {'start_year': 2018, 'end_year': None, 'company': 'Ann Demeulemeester BVBA', 'position': 'Luxury Brand Owner', 'salary': 344000}]","{'savings': 470000, 'inheritance': 8560000, 'real_estate_value': 1690000}","{'relationship': 'father', 'inheritance year': 2009, 'profession': 'Tech Entrepreneur'}","[{'property type': 'house', 'property value': 1690000, 'property location': 'Maaseik'}]",Considerable,Short,Experienced,Discretionary,"['Belgium', 'Finland']",EUR,"{'city': 'Maaseik', 'street name': 'Rue des Deux Portes', 'street number': 95, 'postal code': '0295'}",5271
Mayer Müller Weber,Frankfurt am Main,Marienplatz,48,64638,Germany,1970-02-13,German,OW1477027,2017-01-08,2027-01-07,M,+49 3560 149323,mayer.weber@yahoo.com,widowed,"{'name': 'Pestalozzi-Gymnasium Nürnberg', 'graduation_year': 1987}","[{'university': 'Jacobs University Bremen', 'graduation_year': 1993}]","[{'start_year': 1994, 'end_year': 1999, 'company': 'Merck KGaA', 'position': 'Research Scientist', 'salary': 49000}, {'start_year': 2000, 'end_year': 2005, 'company': 'Qiagen N.V.', 'position': 'Biotech Startup Founder', 'salary': 78000}, {'start_year': 2006, 'end_year': 2011, 'company': 'Bayer AG', 'position': 'CEO', 'salary': 141000}, {'start_year': 2012, 'end_year': None, 'company': 'Merck KGaA', 'position': 'Venture Capitalist', 'salary': 470000}]","{'savings': 810000, 'inheritance': 4740000, 'real_estate_value': 3532000}","{'relationship': 'grandmother', 'inheritance year': 2013, 'profession': 'Real Estate Developer'}","[{'property type': 'condo', 'property value': 1305000, 'property location': 'Frankfurt am Main'}, {'property type': 'flat', 'property value': 1177000, 'property location': 'Bielefeld'}, {'property type': 'flat', 'property value': 1050000, 'property location': 'Heidelberg'}]",Low,1-3 months,Experienced,Advisory,['Germany'],EUR,"{'city': 'Frankfurt am Main', 'street name': 'Marienplatz', 'street number': 48, 'postal code': '64638'}",5043
Luna Geertje Veenhoven,Oss,Kalverstraat,66,0346 95,Netherlands,1981-05-05,Dutch,UB0454048,2020-08-18,2030-08-17,F,06 12262451,luna.veenhoven@hotmail.com,single,"{'name': 'Katholieke Scholengemeenschap Hoofddorp', 'graduation_year': 1999}","[{'university': 'Vrije Universiteit Amsterdam - School of Business and Economics', 'graduation_year': 2004}]","[{'start_year': 2006, 'end_year': 2007, 'company': 'Alpinvest Partners B.V.', 'position': 'Analyst', 'salary': 42000}, {'start_year': 2008, 'end_year': 2025, 'company': 'Alpinvest Partners B.V.', 'position': 'Associate', 'salary': 210000}]","{'savings': 310000, 'inheritance': 7240000, 'real_estate_value': 3680000}","{'relationship': 'grandfather', 'inheritance year': 2015, 'profession': 'Venture Capitalist'}","[{'property type': 'villa', 'property value': 2770000, 'property location': 'Oss'}, {'property type': 'flat', 'property value': 910000, 'property location': 'Apeldoorn'}]",Moderate,Short,Expert,Discretionary,['Netherlands'],EUR,"{'city': 'Oss', 'street name': 'Kalverstraat', 'street number': 66, 'postal code': '0346 95'}",4191
Ève Joséphine Robert,Marseille,Rue de la Convention,36,21372,France,2001-01-03,French,LP5586047,2024-10-12,2034-10-11,F,01 23 48 28 89,eve.robert@yahoo.com,single,"{'name': 'Lycée Marcel Pagnol', 'graduation_year': 2019}","[{'university': 'École Polytechnique', 'graduation_year': 2023}]",[],"{'savings': 0, 'inheritance': 1000000, 'real_estate_value': 0}","{'relationship': 'grandmother', 'inheritance year': 2017, 'profession': 'Tech Entrepreneur'}",[],High,Long-Term,Inexperienced,,"['Spain', 'France']",EUR,"{'city': 'Marseille', 'street name': 'Rue de la Convention', 'street number': 36, 'postal code': '21372'}",7714
Krol Verhoeven Visser,Assen,Willemsparkweg,64,8970 11,Netherlands,1971-04-28,Dutch,XT0358883,2020-04-19,2030-04-18,M,+31 06 96775576,krol.visser@outlook.com,divorced,"{'name': 'Gerardus Majellalynceum Amsterdam', 'graduation_year': 1989}","[{'university': 'Wittenborg University of Applied Sciences', 'graduation_year': 1984}]","[{'start_year': 1995, 'end_year': 1999, 'company': 'Accor Hospitality Nederland B.V.', 'position': 'Hotel Manager', 'salary': 41000}, {'start_year': 2000, 'end_year': 2004, 'company': 'InterContinental Hotels Group Nederland B.V.', 'position': 'General Manager', 'salary': 66000}, {'start_year': 2006, 'end_year': 2010, 'company': 'Accor Hospitality Nederland B.V.', 'position': 'Regional Vice President', 'salary': 77000}, {'start_year': 2010, 'end_year': None, 'company': 'Accor Hospitality Nederland B.V.', 'position': 'CEO', 'salary': 642000}]","{'savings': 980000, 'inheritance': 3580000, 'real_estate_value': 1540000}","{'relationship': 'grandmother', 'inheritance year': 2007, 'profession': 'Stock Trader'}","[{'property type': 'townhouse', 'property value': 1540000, 'property location': 'Assen'}]",Considerable,Medium,Experienced,Discretionary,"['Denmark', 'Netherlands']",EUR,"{'city': 'Assen', 'street name': 'Willemsparkweg', 'street number': 64, 'postal code': '8970 11'}",2266
David Dubois Laurent,Brest,Rue de Vaugirard,31,52881,France,1987-05-05,French,FM5665650,2024-06-17,2034-06-16,M,05 18 41 58 24,david.laurent@sfr.fr,married,"{'name': 'Lycée La Martinière Monplaisir', 'graduation_year': 2006}","[{'university': 'La Fémis', 'graduation_year': 2012}]","[{'start_year': 2012, 'end_year': 2016, 'company': 'Chanel S.A.', 'position': 'Assistant Designer', 'salary': 31000}, {'start_year': 2017, 'end_year': 2021, 'company': 'Louis Vuitton Malletier S.A.', 'position': 'Senior Designer', 'salary': 44000}, {'start_year': 2022, 'end_year': None, 'company': 'Hermès International S.A.', 'position': 'Creative Director', 'salary': 73000}]","{'savings': 80000, 'inheritance': 720000, 'real_estate_value': 5495000}","{'relationship': 'grandmother', 'inheritance year': 2015, 'profession': 'Real Estate Developer'}","[{'property type': 'house', 'property value': 1950000, 'property location': 'Brest'}, {'property type': 'condo', 'property value': 1325000, 'property location': 'Metz'}, {'property type': 'house', 'property value': 2220000, 'property location': 'Limoges'}]",Moderate,Long-Term,Expert,Advisory,"['France', 'Finland']",EUR,"{'city': 'Brest', 'street name': 'Rue de Vaugirard', 'street number': 31, 'postal code': '52881'}",1087
Ida Freja Mikkelsen,Arnhem,Koninginnegracht,93,9493 62,Netherlands,1974-10-14,Danish,CR8471828,2020-05-30,2030-05-29,F,+31 06 71261220,ida.mikkelsen@yahoo.com,divorced,"{'name': 'Roskilde Katedralskole', 'graduation_year': 1993}","[{'university': 'University College Absalon', 'graduation_year': 1999}]","[{'start_year': 1999, 'end_year': 2004, 'company': '10 Feather Corporation B.V.', 'position': 'Assistant Designer', 'salary': 322000}, {'start_year': 2004, 'end_year': 2005, 'company': 'G-Star Raw C.V.', 'position': 'Senior Designer', 'salary': 359000}, {'start_year': 2007, 'end_year': 2009, 'company': 'Victor & Rolf B.V.', 'position': 'Creative Director', 'salary': 509000}, {'start_year': 2011, 'end_year': None, 'company': 'Blueblood B.V.', 'position': 'Founder/Designer', 'salary': 2895000}]","{'savings': 4200000, 'inheritance': 0, 'real_estate_value': 0}",{},[],Low,Medium,Experienced,Advisory,['Netherlands'],EUR,"{'city': 'Arnhem', 'street name': 'Koninginnegracht', 'street number': 93, 'postal code': '9493 62'}",5427
Francisca Carlijn Van den Berg,Helmond,Kerkplein,25,6028 71,Netherlands,1980-09-02,Dutch,MW2849442,2024-03-16,2034-03-15,F,+31 06 62440699,francisca.vandenberg@live.nl,married,"{'name': 'Gerardus Majellalynceum Amsterdam', 'graduation_year': 1998}","[{'university': 'Nederlandse Organisatie voor Toegepast Natuurwetenschappelijk Onderzoek (TNO)', 'graduation_year': 2003}]","[{'start_year': 2005, 'end_year': 2010, 'company': 'Pfizer Nederland B.V.', 'position': 'Research Scientist', 'salary': 46000}, {'start_year': 2012, 'end_year': None, 'company': 'Pfizer Nederland B.V.', 'position': 'Clinical Trials Manager', 'salary': 175000}]","{'savings': 260000, 'inheritance': 3190000, 'real_estate_value': 2680000}","{'relationship': 'grandfather', 'inheritance year': 2011, 'profession': 'Neurosurgeon'}","[{'property type': 'house', 'property value': 1700000, 'property location': 'Helmond'}, {'property type': 'flat', 'property value': 980000, 'property location': 'Apeldoorn'}]",Low,Medium,Expert,Discretionary,['Netherlands'],EUR,"{'city': 'Helmond', 'street name': 'Kerkplein', 'street number': 25, 'postal code': '6028 71'}",7370
